DataFrame[212×20 DataFrame
 Row │ geometry    ref:FR:PTT  ref:FR:PTT:NRA  colour   mapillary        operator          substation          utility  survey:date  ref:FR:Orange:NRO  man_made        ref        ref:FR:ARCEP   ref:FR:Orange  @id              telecom:medium  power       owner    telecom           street_cabinet
     │ Union…      Union…?     String?         String?  Int64?           String?           String?             String?  String?      String?            String?         String?    String?        String?        String?          String?         String?     String?  String?           String?
─────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ 2D Polygon  missing     missing         missing          missing  missing           missing             missing  missing      missing            missing         missing    missing        missing        missing          missing         missing     missing  missing           missing
   2 │ 2D Point    missing     missing         missing          missing  missing           minor_distribution  missing  missing      missing            street_cabinet  missing    missing        missing        node/2844605004  missing         substation  missing  missing           power
   3 │ 2D Point    020         44109GLO        missing  263575138799398  Orange            missing             missing  2018-01-12   missing            street_cabinet  missing    missing        missing        node/3363489621  copper          missing     missing  connection_point  telecom
   4 │ 2D Point    missing     missing         missing          missing  La Poste          missing             missing  missing      missing            street_cabinet  500263 G   missing        missing        node/3898524181  missing         missing     missing  missing           postal_service
   5 │ 2D Point    missing     missing         missing          missing  Nantes Métropole  missing             missing  missing      missing            street_cabinet  SL NA 942  missing        missing        node/4039207390  missing         missing     missing  missing           missing
   6 │ 2D Point    missing     missing         missing          missing  La Poste          missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/4050171540  missing         missing     missing  missing           postal_service
   7 │ 2D Point    missing     missing         missing          missing  La Poste          missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/4050171542  missing         missing     missing  missing           postal_service
   8 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/4472013069  missing         missing     missing  missing           missing
   9 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/4472013070  missing         missing     missing  missing           missing
  10 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/4472013071  missing         missing     missing  missing           missing
  11 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/4472019605  missing         missing     missing  missing           missing
  12 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/4610591166  missing         missing     missing  missing           missing
  13 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/4770294619  missing         missing     missing  missing           missing
  14 │ 2D Point    missing     missing         missing          missing  La Poste          missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/5932718691  missing         missing     missing  missing           postal_service
  15 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/5982854495  missing         missing     missing  missing           Postal_service
  16 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6170313895  missing         missing     missing  missing           missing
  17 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6170313896  missing         missing     missing  missing           missing
  18 │ 2D Point    missing     missing         missing          missing  La Poste          missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6170313897  missing         missing     missing  missing           postal_service
  19 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6170313898  missing         missing     missing  missing           missing
  20 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6170313899  missing         missing     missing  missing           missing
  21 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UL  PT004439       node/6170313900  fibre           missing     Orange   connection_point  telecom
  22 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UJ  PT004437       node/6170313901  fibre           missing     Orange   connection_point  telecom
  23 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UR  PT004450       node/6170313902  fibre           missing     Orange   connection_point  telecom
  24 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UQ  PT004448       node/6170313903  fibre           missing     Orange   connection_point  telecom
  25 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UP  PT004449       node/6170313904  fibre           missing     Orange   connection_point  telecom
  26 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U5  PT004325       node/6170313905  fibre           missing     Orange   connection_point  telecom
  27 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6205538988  copper          missing     Orange   connection_point  telecom
  28 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U1  PT004328       node/6205538989  fibre           missing     Orange   connection_point  telecom
  29 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TP  PT004435       node/6205538991  fibre           missing     Orange   connection_point  telecom
  30 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TO  PT004455       node/6205538992  fibre           missing     Orange   connection_point  telecom
  31 │ 2D Point    41          GLO             missing          missing  Orange            missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6205538993  copper          missing     Orange   connection_point  telecom
  32 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TS  PT004434       node/6205538994  fibre           missing     Orange   connection_point  telecom
  33 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TV  PT004457       node/6205538995  fibre           missing     Orange   connection_point  telecom
  34 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6205538996  copper          missing     Orange   connection_point  telecom
  35 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TR  PT004454       node/6205538997  fibre           missing     Orange   connection_point  telecom
  36 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018I  PT002617       node/6479033689  fibre           missing     Orange   connection_point  telecom
  37 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-019J  PT002564       node/6479033690  fibre           missing     Orange   connection_point  telecom
  38 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018S  PT002624       node/6479033691  fibre           missing     Orange   connection_point  telecom
  39 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0198  PT002592       node/6479033692  fibre           missing     Orange   connection_point  telecom
  40 │ 2D Point    B10         CRB             missing          missing  Orange            missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/6615016556  copper          missing     Orange   connection_point  telecom
  41 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7041017869  missing         missing     missing  missing           missing
  42 │ 2D Point    missing     missing         missing          missing  missing           missing             missing  missing      missing            street_cabinet  missing    missing        missing        node/7041017874  missing         missing     missing  missing           missing
